Date,Ticker,Open,High,Low,Close,Traded Shares
2010-11-02,ADBL,42.703975528078004,42.90471040845586,41.90103600656664,42.50324064770017,6760
2010-11-03,ADBL,42.50324064770017,43.70764992996724,42.703975528078004,43.306180169211544,9278
2010-11-04,ADBL,43.306180169211544,44.30985457110075,42.90471040845586,44.109119690722906,5401
2010-11-09,ADBL,44.109119690722906,45.31352897298997,43.10544528883369,45.31352897298997,5893
2010-11-10,ADBL,45.31352897298997,46.919408016012724,43.70764992996724,45.71499873374566,7474
2010-11-11,ADBL,45.71499873374566,47.32087777676841,45.514263853367815,46.718673135634894,6535
2010-11-14,ADBL,46.718673135634894,47.923082417901945,45.9157336141235,46.11646849450134,3445
2010-11-15,ADBL,46.11646849450134,45.9157336141235,45.11279409261213,45.514263853367815,3983
2010-11-16,ADBL,45.514263853367815,46.31720337487919,45.31352897298997,45.9157336141235,2641
2010-11-18,ADBL,45.9157336141235,46.51793825525705,45.514263853367815,45.71499873374566,3731
2010-11-21,ADBL,45.71499873374566,46.31720337487919,45.514263853367815,45.9157336141235,14538
2010-11-22,ADBL,45.9157336141235,46.51793825525705,45.11279409261213,45.9157336141235,7358
2010-11-23,ADBL,45.9157336141235,46.718673135634894,45.514263853367815,46.11646849450134,10742
2010-11-24,ADBL,46.11646849450134,46.718673135634894,45.71499873374566,46.51793825525705,4943
2010-11-25,ADBL,46.51793825525705,47.72234753752411,45.514263853367815,47.72234753752411,11689
2010-11-28,ADBL,47.72234753752411,47.12014289639057,45.514263853367815,45.514263853367815,4635
2010-11-29,ADBL,45.514263853367815,46.11646849450134,44.51058945147861,44.711324331856446,2778
2010-11-30,ADBL,44.711324331856446,45.514263853367815,44.109119690722906,44.51058945147861,5139
2010-12-01,ADBL,44.51058945147861,44.91205921223428,43.10544528883369,43.90838481034506,4971
2010-12-02,ADBL,43.90838481034506,44.91205921223428,42.302505767322316,42.302505767322316,2779
2010-12-05,ADBL,42.302505767322316,42.302505767322316,41.09809648505526,41.09809648505526,9343
2010-12-06,ADBL,41.09809648505526,42.50324064770017,41.09809648505526,42.50324064770017,1098
2010-12-07,ADBL,42.50324064770017,42.101770886944486,39.692952322410356,41.09809648505526,4186
2010-12-08,ADBL,41.09809648505526,40.69662672429957,40.09442208316604,40.49589184392173,3925
2010-12-09,ADBL,40.49589184392173,41.298831365433095,40.09442208316604,40.897361604677414,5690
2010-12-12,ADBL,40.897361604677414,41.09809648505526,39.893687202788186,40.897361604677414,11296
2010-12-13,ADBL,40.897361604677414,40.897361604677414,40.29515696354387,40.897361604677414,7755
2010-12-14,ADBL,40.897361604677414,41.298831365433095,40.897361604677414,40.897361604677414,6063
2010-12-15,ADBL,40.897361604677414,40.897361604677414,40.09442208316604,40.29515696354387,3341
2010-12-16,ADBL,40.29515696354387,40.69662672429957,39.893687202788186,40.69662672429957,3645
2010-12-19,ADBL,40.69662672429957,40.69662672429957,39.692952322410356,40.69662672429957,6516
2010-12-20,ADBL,40.69662672429957,41.09809648505526,40.29515696354387,40.29515696354387,8991
2010-12-22,ADBL,40.29515696354387,40.69662672429957,40.09442208316604,40.29515696354387,731
2010-12-23,ADBL,40.29515696354387,40.897361604677414,40.29515696354387,40.49589184392173,3227
2010-12-26,ADBL,40.49589184392173,41.499566245810946,40.49589184392173,41.499566245810946,2626
2010-12-27,ADBL,41.499566245810946,41.90103600656664,41.09809648505526,41.499566245810946,978
2010-12-28,ADBL,41.499566245810946,41.90103600656664,41.298831365433095,41.90103600656664,3520
2010-12-29,ADBL,41.90103600656664,42.302505767322316,41.90103600656664,42.101770886944486,1534
2011-01-02,ADBL,42.101770886944486,42.50324064770017,40.29515696354387,40.69662672429957,10768
